id,edsm_id,name,x,y,z,population,is_populated,government_id,government,allegiance_id,allegiance,state_id,state,security_id,security,primary_economy_id,primary_economy,power,power_state,power_state_id,needs_permit,updated_at,simbad_ref,controlling_minor_faction_id,controlling_minor_faction,reserve_type_id,reserve_type
21969,23704,"Cephei Sector DQ-Y b5",-93.0625,15.96875,-76.84375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497199937,,,,,
200292,185989,"Cephei Sector GB-X b1-3",-73.46875,35.625,-54.75,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497302840,,,,,
113835,194782,"Cephei Sector HW-W b1-1",-87,23.625,-58.34375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497290938,,,,,
47479,93659,"Cephei Sector IW-W b1-3",-80.15625,28.96875,-55.96875,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497006028,,,,,
140519,191207,"Col 285 Sector DS-H b11-0",-153.6875,18.40625,-122.40625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1495398107,,,,,
180158,132878,"Col 285 Sector ES-H b11-3",-131.9375,28.75,-119.375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1495950075,,,,,
69658,44474,"Col 285 Sector GM-V d2-108",-170.375,19.53125,-148.65625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496747378,,,,,
122653,132822,"Col 285 Sector GN-H b11-2",-140.9375,13.4375,-116.28125,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497136860,,,,,
51512,185649,"Col 285 Sector JX-T d3-74",-67.625,60.96875,-52.34375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496626896,,,,,
100819,157577,"Col 285 Sector KT-F b12-3",-134.03125,6.5625,-103.1875,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497203908,,,,,
133748,157575,"Col 285 Sector NY-Q c5-18",-157.71875,18.15625,-129.34375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497299408,,,,,
441143,132881,"Col 285 Sector NY-Q c5-19",-145.25,19.1875,-120.9375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496773958,,,,,
54155,223477,"Col 285 Sector NY-Q c5-3",-159.28125,20.15625,-122.09375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496977919,,,,,
169317,157486,"Col 285 Sector OY-Q c5-11",-129.375,28.34375,-125.84375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497124706,,,,,
53592,157574,"Col 285 Sector PT-Q c5-15",-162.09375,11.4375,-138.5,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497203913,,,,,
20236,24040,"Col 285 Sector QU-C b14-5",-57.375,59.71875,-52.375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496073196,,,,,
517519,171935,"Col 285 Sector ZL-J b10-0",-162.8125,17,-143.59375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496354473,,,,,
69514,157480,"Col 285 Sector ZL-J b10-3",-157.78125,26.3125,-130.0625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1495747433,,,,,
6708,12847,"HIP 13179",-92.28125,30.875,-79.34375,11772329,1,96,Democracy,3,Federation,80,None,32,Medium,4,Industrial,,,,0,1496787485,"HIP 13179",21495,"Workers of HIP 13179 Green Party",,
60346,24717,"HIP 7333",-110.53125,9.1875,-85.15625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497199938,,,,,
8492,1804,"HIP 7670",-124.6875,4.5625,-99.125,119768,1,64,Corporate,4,Independent,80,None,16,Low,6,Refinery,,,,0,1497049268,"HIP 7670",17631,"HIP 7670 Electronics PLC",,
53559,132882,"HIP 8717",-160.4375,16.71875,-131.15625,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496772152,,,,,
11948,10898,"LHS 2522",-24.8125,56.53125,-23.4375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497306568,"LHS 2522",,,1,Pristine
12323,17331,"LP 131-55",-25.34375,63.8125,-17.6875,90749,1,64,Corporate,1,Alliance,80,None,32,Medium,6,Refinery,"Edmund Mahon",Exploited,32,0,1497268885,"LP 131-55",49632,"LP 131-55 Life Co",4,Low
24033,27916,"LP 63-267",-29.90625,55,-29.9375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497317684,"LP 63-267",,,,
135432,157479,"Lyncis Sector XP-P b5-6",-111.96875,30.4375,-99.09375,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1496998570,,,,,
35323,25616,"Ross 451",-36.75,57.3125,-34.25,0,0,176,None,5,None,80,None,16,Low,10,None,,,,0,1497294754,"Ross 451",,,,
16798,2231,"Sheela Na Gig",-24.9375,67.46875,-12.09375,126149,1,64,Corporate,4,Independent,16,Boom,32,Medium,11,Colony,"Edmund Mahon",Exploited,32,0,1497120006,,25238,"Silver Travel Inc",4,Low
24948,29621,"Te Kaha",-172.8125,13.3125,-154.625,100000,1,112,Dictatorship,4,Independent,67,Expansion,48,High,8,Terraforming,,,,0,1497304541,,63372,"Glory for the People Party",,
